IpAddress;Test Number;Metric;Value
10.146.0.131;99;rttPktTransmit;100
10.146.0.131;100;rttPktTransmit;100
10.146.0.131;1;rttPktLoss;0
10.146.0.131;2;rttPktLoss;0
10.146.0.131;3;rttPktLoss;0
10.146.0.131;4;rttPktLoss;0
10.146.0.131;5;rttPktLoss;0
10.146.0.131;6;rttPktLoss;0
10.146.0.131;7;rttPktLoss;0
10.146.0.131;8;rttPktLoss;0
10.146.0.131;9;rttPktLoss;0
10.146.0.131;10;rttPktLoss;0
10.146.0.131;11;rttPktLoss;0
10.146.0.131;12;rttPktLoss;0
10.146.0.131;13;rttPktLoss;0
10.146.0.131;14;rttPktLoss;0
10.146.0.131;15;rttPktLoss;0
10.146.0.131;16;rttPktLoss;0
10.146.0.131;17;rttPktLoss;0
10.146.0.131;18;rttPktLoss;0
10.146.0.131;19;rttPktLoss;0
10.146.0.131;20;rttPktLoss;0
10.146.0.131;21;rttPktLoss;0
10.146.0.131;22;rttPktLoss;0
10.146.0.131;23;rttPktLoss;0
10.146.0.131;24;rttPktLoss;0
10.146.0.131;25;rttPktLoss;0
10.146.0.131;26;rttPktLoss;0
10.146.0.131;27;rttPktLoss;0
10.146.0.131;28;rttPktLoss;0
10.146.0.131;29;rttPktLoss;0
10.146.0.131;30;rttPktLoss;0
10.146.0.131;31;rttPktLoss;0
10.146.0.131;32;rttPktLoss;0
10.146.0.131;33;rttPktLoss;0
10.146.0.131;34;rttPktLoss;0
10.146.0.131;35;rttPktLoss;0
10.146.0.131;36;rttPktLoss;0
10.146.0.131;37;rttPktLoss;0
10.146.0.131;38;rttPktLoss;0
10.146.0.131;39;rttPktLoss;0
10.146.0.131;40;rttPktLoss;0
10.146.0.131;41;rttPktLoss;0
10.146.0.131;42;rttPktLoss;0
10.146.0.131;43;rttPktLoss;0
10.146.0.131;44;rttPktLoss;0
10.146.0.131;45;rttPktLoss;0
10.146.0.131;46;rttPktLoss;0
10.146.0.131;47;rttPktLoss;0
10.146.0.131;48;rttPktLoss;0
10.146.0.131;49;rttPktLoss;0
10.146.0.131;50;rttPktLoss;0
10.146.0.131;51;rttPktLoss;0
10.146.0.131;52;rttPktLoss;0
10.146.0.131;53;rttPktLoss;0
10.146.0.131;54;rttPktLoss;0
10.146.0.131;55;rttPktLoss;0
10.146.0.131;56;rttPktLoss;0
10.146.0.131;57;rttPktLoss;0
10.146.0.131;58;rttPktLoss;0
10.146.0.131;59;rttPktLoss;0
10.146.0.131;60;rttPktLoss;0
10.146.0.131;61;rttPktLoss;0
10.146.0.131;62;rttPktLoss;0
10.146.0.131;63;rttPktLoss;0
10.146.0.131;64;rttPktLoss;0
10.146.0.131;65;rttPktLoss;0
10.146.0.131;66;rttPktLoss;0
10.146.0.131;67;rttPktLoss;0
10.146.0.131;68;rttPktLoss;0
10.146.0.131;69;rttPktLoss;0
10.146.0.131;70;rttPktLoss;0
10.146.0.131;71;rttPktLoss;0
10.146.0.131;72;rttPktLoss;0
10.146.0.131;73;rttPktLoss;0
10.146.0.131;74;rttPktLoss;0
10.146.0.131;75;rttPktLoss;0
10.146.0.131;76;rttPktLoss;0
10.146.0.131;77;rttPktLoss;0
10.146.0.131;78;rttPktLoss;0
10.146.0.131;79;rttPktLoss;0
10.146.0.131;80;rttPktLoss;0
10.146.0.131;81;rttPktLoss;0
10.146.0.131;82;rttPktLoss;0
10.146.0.131;83;rttPktLoss;0
10.146.0.131;84;rttPktLoss;0
10.146.0.131;85;rttPktLoss;0
10.146.0.131;86;rttPktLoss;0
10.146.0.131;87;rttPktLoss;0
10.146.0.131;88;rttPktLoss;0
10.146.0.131;89;rttPktLoss;0
10.146.0.131;90;rttPktLoss;0
10.146.0.131;91;rttPktLoss;0
10.146.0.131;92;rttPktLoss;0
10.146.0.131;93;rttPktLoss;0
10.146.0.131;94;rttPktLoss;0
10.146.0.131;95;rttPktLoss;0
10.146.0.131;96;rttPktLoss;0
10.146.0.131;97;rttPktLoss;0
10.146.0.131;98;rttPktLoss;0
10.146.0.131;99;rttPktLoss;0
10.146.0.131;100;rttPktLoss;0
10.146.0.131;1;rttPktLoss.sd;0
10.146.0.131;2;rttPktLoss.sd;0
10.146.0.131;3;rttPktLoss.sd;0
10.146.0.131;4;rttPktLoss.sd;0
10.146.0.131;5;rttPktLoss.sd;0
10.146.0.131;6;rttPktLoss.sd;0
10.146.0.131;7;rttPktLoss.sd;0
10.146.0.131;8;rttPktLoss.sd;0
10.146.0.131;9;rttPktLoss.sd;0
10.146.0.131;10;rttPktLoss.sd;0
10.146.0.131;11;rttPktLoss.sd;0
10.146.0.131;12;rttPktLoss.sd;0
10.146.0.131;13;rttPktLoss.sd;0
10.146.0.131;14;rttPktLoss.sd;0
10.146.0.131;15;rttPktLoss.sd;0
10.146.0.131;16;rttPktLoss.sd;0
10.146.0.131;17;rttPktLoss.sd;0
10.146.0.131;18;rttPktLoss.sd;0
10.146.0.131;19;rttPktLoss.sd;0
10.146.0.131;20;rttPktLoss.sd;0
10.146.0.131;21;rttPktLoss.sd;0
10.146.0.131;22;rttPktLoss.sd;0
10.146.0.131;23;rttPktLoss.sd;0
10.146.0.131;24;rttPktLoss.sd;0
10.146.0.131;25;rttPktLoss.sd;0
10.146.0.131;26;rttPktLoss.sd;0
10.146.0.131;27;rttPktLoss.sd;0
10.146.0.131;28;rttPktLoss.sd;0
10.146.0.131;29;rttPktLoss.sd;0
10.146.0.131;30;rttPktLoss.sd;0
10.146.0.131;31;rttPktLoss.sd;0
10.146.0.131;32;rttPktLoss.sd;0
10.146.0.131;33;rttPktLoss.sd;0
10.146.0.131;34;rttPktLoss.sd;0
10.146.0.131;35;rttPktLoss.sd;0
10.146.0.131;36;rttPktLoss.sd;0
10.146.0.131;37;rttPktLoss.sd;0
10.146.0.131;38;rttPktLoss.sd;0
10.146.0.131;39;rttPktLoss.sd;0
10.146.0.131;40;rttPktLoss.sd;0
10.146.0.131;41;rttPktLoss.sd;0
10.146.0.131;42;rttPktLoss.sd;0
10.146.0.131;43;rttPktLoss.sd;0
10.146.0.131;44;rttPktLoss.sd;0
10.146.0.131;45;rttPktLoss.sd;0
10.146.0.131;46;rttPktLoss.sd;0
10.146.0.131;47;rttPktLoss.sd;0
10.146.0.131;48;rttPktLoss.sd;0
10.146.0.131;49;rttPktLoss.sd;0
10.146.0.131;50;rttPktLoss.sd;0
10.146.0.131;51;rttPktLoss.sd;0
10.146.0.131;52;rttPktLoss.sd;0
10.146.0.131;53;rttPktLoss.sd;0
10.146.0.131;54;rttPktLoss.sd;0
10.146.0.131;55;rttPktLoss.sd;0
10.146.0.131;56;rttPktLoss.sd;0
10.146.0.131;57;rttPktLoss.sd;0
10.146.0.131;58;rttPktLoss.sd;0
10.146.0.131;59;rttPktLoss.sd;0
10.146.0.131;60;rttPktLoss.sd;0
10.146.0.131;61;rttPktLoss.sd;0
10.146.0.131;62;rttPktLoss.sd;0
10.146.0.131;63;rttPktLoss.sd;0
10.146.0.131;64;rttPktLoss.sd;0
10.146.0.131;65;rttPktLoss.sd;0
10.146.0.131;66;rttPktLoss.sd;0
10.146.0.131;67;rttPktLoss.sd;0
10.146.0.131;68;rttPktLoss.sd;0
10.146.0.131;69;rttPktLoss.sd;0
10.146.0.131;70;rttPktLoss.sd;0
10.146.0.131;71;rttPktLoss.sd;0
10.146.0.131;72;rttPktLoss.sd;0
10.146.0.131;73;rttPktLoss.sd;0
10.146.0.131;74;rttPktLoss.sd;0
10.146.0.131;75;rttPktLoss.sd;0
10.146.0.131;76;rttPktLoss.sd;0
10.146.0.131;77;rttPktLoss.sd;0
10.146.0.131;78;rttPktLoss.sd;0
10.146.0.131;79;rttPktLoss.sd;0
10.146.0.131;80;rttPktLoss.sd;0
10.146.0.131;81;rttPktLoss.sd;0
10.146.0.131;82;rttPktLoss.sd;0
10.146.0.131;83;rttPktLoss.sd;0
10.146.0.131;84;rttPktLoss.sd;0
10.146.0.131;85;rttPktLoss.sd;0
10.146.0.131;86;rttPktLoss.sd;0
10.146.0.131;87;rttPktLoss.sd;0
10.146.0.131;88;rttPktLoss.sd;0
10.146.0.131;89;rttPktLoss.sd;0
10.146.0.131;90;rttPktLoss.sd;0
10.146.0.131;91;rttPktLoss.sd;0
10.146.0.131;92;rttPktLoss.sd;0
10.146.0.131;93;rttPktLoss.sd;0
10.146.0.131;94;rttPktLoss.sd;0
10.146.0.131;95;rttPktLoss.sd;0
10.146.0.131;96;rttPktLoss.sd;0
10.146.0.131;97;rttPktLoss.sd;0
10.146.0.131;98;rttPktLoss.sd;0
10.146.0.131;99;rttPktLoss.sd;0
10.146.0.131;100;rttPktLoss.sd;0
10.146.0.131;1;rttPktLoss.ds;0
10.146.0.131;2;rttPktLoss.ds;0
10.146.0.131;3;rttPktLoss.ds;0
10.146.0.131;4;rttPktLoss.ds;0
10.146.0.131;5;rttPktLoss.ds;0
10.146.0.131;6;rttPktLoss.ds;0
10.146.0.131;7;rttPktLoss.ds;0
10.146.0.131;8;rttPktLoss.ds;0
10.146.0.131;9;rttPktLoss.ds;0
10.146.0.131;10;rttPktLoss.ds;0
10.146.0.131;11;rttPktLoss.ds;0
10.146.0.131;12;rttPktLoss.ds;0
10.146.0.131;13;rttPktLoss.ds;0
10.146.0.131;14;rttPktLoss.ds;0
10.146.0.131;15;rttPktLoss.ds;0
10.146.0.131;16;rttPktLoss.ds;0
10.146.0.131;17;rttPktLoss.ds;0
10.146.0.131;18;rttPktLoss.ds;0
10.146.0.131;19;rttPktLoss.ds;0
10.146.0.131;20;rttPktLoss.ds;0
10.146.0.131;21;rttPktLoss.ds;0
10.146.0.131;22;rttPktLoss.ds;0
10.146.0.131;23;rttPktLoss.ds;0
10.146.0.131;24;rttPktLoss.ds;0
10.146.0.131;25;rttPktLoss.ds;0
10.146.0.131;26;rttPktLoss.ds;0
10.146.0.131;27;rttPktLoss.ds;0
10.146.0.131;28;rttPktLoss.ds;0
10.146.0.131;29;rttPktLoss.ds;0
10.146.0.131;30;rttPktLoss.ds;0
10.146.0.131;31;rttPktLoss.ds;0
10.146.0.131;32;rttPktLoss.ds;0
10.146.0.131;33;rttPktLoss.ds;0
10.146.0.131;34;rttPktLoss.ds;0
10.146.0.131;35;rttPktLoss.ds;0
10.146.0.131;36;rttPktLoss.ds;0
10.146.0.131;37;rttPktLoss.ds;0
10.146.0.131;38;rttPktLoss.ds;0
10.146.0.131;39;rttPktLoss.ds;0
10.146.0.131;40;rttPktLoss.ds;0
10.146.0.131;41;rttPktLoss.ds;0
10.146.0.131;42;rttPktLoss.ds;0
10.146.0.131;43;rttPktLoss.ds;0
10.146.0.131;44;rttPktLoss.ds;0
10.146.0.131;45;rttPktLoss.ds;0
10.146.0.131;46;rttPktLoss.ds;0
10.146.0.131;47;rttPktLoss.ds;0
10.146.0.131;48;rttPktLoss.ds;0
10.146.0.131;49;rttPktLoss.ds;0
10.146.0.131;50;rttPktLoss.ds;0
10.146.0.131;51;rttPktLoss.ds;0
10.146.0.131;52;rttPktLoss.ds;0
10.146.0.131;53;rttPktLoss.ds;0
10.146.0.131;54;rttPktLoss.ds;0
10.146.0.131;55;rttPktLoss.ds;0
10.146.0.131;56;rttPktLoss.ds;0
10.146.0.131;57;rttPktLoss.ds;0
10.146.0.131;58;rttPktLoss.ds;0
10.146.0.131;59;rttPktLoss.ds;0
10.146.0.131;60;rttPktLoss.ds;0
10.146.0.131;61;rttPktLoss.ds;0
10.146.0.131;62;rttPktLoss.ds;0
10.146.0.131;63;rttPktLoss.ds;0
10.146.0.131;64;rttPktLoss.ds;0
10.146.0.131;65;rttPktLoss.ds;0
10.146.0.131;66;rttPktLoss.ds;0
10.146.0.131;67;rttPktLoss.ds;0
10.146.0.131;68;rttPktLoss.ds;0
10.146.0.131;69;rttPktLoss.ds;0
10.146.0.131;70;rttPktLoss.ds;0
10.146.0.131;71;rttPktLoss.ds;0
10.146.0.131;72;rttPktLoss.ds;0
10.146.0.131;73;rttPktLoss.ds;0
10.146.0.131;74;rttPktLoss.ds;0
10.146.0.131;75;rttPktLoss.ds;0
10.146.0.131;76;rttPktLoss.ds;0
10.146.0.131;77;rttPktLoss.ds;0
10.146.0.131;78;rttPktLoss.ds;0
10.146.0.131;79;rttPktLoss.ds;0
10.146.0.131;80;rttPktLoss.ds;0
10.146.0.131;81;rttPktLoss.ds;0
10.146.0.131;82;rttPktLoss.ds;0
10.146.0.131;83;rttPktLoss.ds;0
10.146.0.131;84;rttPktLoss.ds;0
10.146.0.131;85;rttPktLoss.ds;0
10.146.0.131;86;rttPktLoss.ds;0
10.146.0.131;87;rttPktLoss.ds;0
10.146.0.131;88;rttPktLoss.ds;0
10.146.0.131;89;rttPktLoss.ds;0
10.146.0.131;90;rttPktLoss.ds;0
10.146.0.131;91;rttPktLoss.ds;0
10.146.0.131;92;rttPktLoss.ds;0
10.146.0.131;93;rttPktLoss.ds;0
10.146.0.131;94;rttPktLoss.ds;0
10.146.0.131;95;rttPktLoss.ds;0
10.146.0.131;96;rttPktLoss.ds;0
10.146.0.131;97;rttPktLoss.ds;0
10.146.0.131;98;rttPktLoss.ds;0
10.146.0.131;99;rttPktLoss.ds;0
10.146.0.131;100;rttPktLoss.ds;0
10.146.0.131;1;owDelayMin.sd;0
10.146.0.131;2;owDelayMin.sd;0
10.146.0.131;3;owDelayMin.sd;0
10.146.0.131;4;owDelayMin.sd;0
10.146.0.131;5;owDelayMin.sd;0
10.146.0.131;6;owDelayMin.sd;0
10.146.0.131;7;owDelayMin.sd;0
10.146.0.131;8;owDelayMin.sd;0
10.146.0.131;9;owDelayMin.sd;0
10.146.0.131;10;owDelayMin.sd;0
10.146.0.131;11;owDelayMin.sd;0
10.146.0.131;12;owDelayMin.sd;0
10.146.0.131;13;owDelayMin.sd;0
10.146.0.131;14;owDelayMin.sd;0
10.146.0.131;15;owDelayMin.sd;0
10.146.0.131;16;owDelayMin.sd;0
10.146.0.131;17;owDelayMin.sd;0
10.146.0.131;18;owDelayMin.sd;0
10.146.0.131;19;owDelayMin.sd;0
10.146.0.131;20;owDelayMin.sd;0
10.146.0.131;21;owDelayMin.sd;0
10.146.0.131;22;owDelayMin.sd;0
10.146.0.131;23;owDelayMin.sd;0
10.146.0.131;24;owDelayMin.sd;0
10.146.0.131;25;owDelayMin.sd;0
10.146.0.131;26;owDelayMin.sd;0
10.146.0.131;27;owDelayMin.sd;0
10.146.0.131;28;owDelayMin.sd;0
10.146.0.131;29;owDelayMin.sd;0
10.146.0.131;30;owDelayMin.sd;0
10.146.0.131;31;owDelayMin.sd;0
10.146.0.131;32;owDelayMin.sd;0
10.146.0.131;33;owDelayMin.sd;0
10.146.0.131;34;owDelayMin.sd;0
10.146.0.131;35;owDelayMin.sd;0
10.146.0.131;36;owDelayMin.sd;0
10.146.0.131;37;owDelayMin.sd;0
10.146.0.131;38;owDelayMin.sd;0
10.146.0.131;39;owDelayMin.sd;0
10.146.0.131;40;owDelayMin.sd;0
10.146.0.131;41;owDelayMin.sd;0
10.146.0.131;42;owDelayMin.sd;0
10.146.0.131;43;owDelayMin.sd;0
10.146.0.131;44;owDelayMin.sd;0
10.146.0.131;45;owDelayMin.sd;0
10.146.0.131;46;owDelayMin.sd;0
10.146.0.131;47;owDelayMin.sd;0
10.146.0.131;48;owDelayMin.sd;0
10.146.0.131;49;owDelayMin.sd;0
10.146.0.131;50;owDelayMin.sd;0
10.146.0.131;51;owDelayMin.sd;0
10.146.0.131;52;owDelayMin.sd;0
10.146.0.131;53;owDelayMin.sd;0
10.146.0.131;54;owDelayMin.sd;0
10.146.0.131;55;owDelayMin.sd;0
10.146.0.131;56;owDelayMin.sd;0
10.146.0.131;57;owDelayMin.sd;0
10.146.0.131;58;owDelayMin.sd;0
10.146.0.131;59;owDelayMin.sd;0
10.146.0.131;60;owDelayMin.sd;0
10.146.0.131;61;owDelayMin.sd;0
10.146.0.131;62;owDelayMin.sd;0
10.146.0.131;63;owDelayMin.sd;0
10.146.0.131;64;owDelayMin.sd;0
10.146.0.131;65;owDelayMin.sd;0
10.146.0.131;66;owDelayMin.sd;0
10.146.0.131;67;owDelayMin.sd;0
10.146.0.131;68;owDelayMin.sd;0
10.146.0.131;69;owDelayMin.sd;0
10.146.0.131;70;owDelayMin.sd;0
10.146.0.131;71;owDelayMin.sd;0
10.146.0.131;72;owDelayMin.sd;0
10.146.0.131;73;owDelayMin.sd;0
10.146.0.131;74;owDelayMin.sd;0
10.146.0.131;75;owDelayMin.sd;0
10.146.0.131;76;owDelayMin.sd;0
10.146.0.131;77;owDelayMin.sd;0
10.146.0.131;78;owDelayMin.sd;0
10.146.0.131;79;owDelayMin.sd;0
10.146.0.131;80;owDelayMin.sd;0
10.146.0.131;81;owDelayMin.sd;0
10.146.0.131;82;owDelayMin.sd;0
10.146.0.131;83;owDelayMin.sd;0
10.146.0.131;84;owDelayMin.sd;0
10.146.0.131;85;owDelayMin.sd;0
10.146.0.131;86;owDelayMin.sd;0
10.146.0.131;87;owDelayMin.sd;0
10.146.0.131;88;owDelayMin.sd;0
10.146.0.131;89;owDelayMin.sd;0
10.146.0.131;90;owDelayMin.sd;0
10.146.0.131;91;owDelayMin.sd;0
10.146.0.131;92;owDelayMin.sd;0
10.146.0.131;93;owDelayMin.sd;0
10.146.0.131;94;owDelayMin.sd;0
10.146.0.131;95;owDelayMin.sd;0
10.146.0.131;96;owDelayMin.sd;0
10.146.0.131;97;owDelayMin.sd;0
10.146.0.131;98;owDelayMin.sd;0
10.146.0.131;99;owDelayMin.sd;0
10.146.0.131;100;owDelayMin.sd;0
10.146.0.131;1;owDelayMax.sd;28
10.146.0.131;2;owDelayMax.sd;28
10.146.0.131;3;owDelayMax.sd;28
10.146.0.131;4;owDelayMax.sd;28
10.146.0.131;5;owDelayMax.sd;28
10.146.0.131;6;owDelayMax.sd;28
10.146.0.131;7;owDelayMax.sd;28
10.146.0.131;8;owDelayMax.sd;28
10.146.0.131;9;owDelayMax.sd;28
10.146.0.131;10;owDelayMax.sd;28
10.146.0.131;11;owDelayMax.sd;28
10.146.0.131;12;owDelayMax.sd;28
10.146.0.131;13;owDelayMax.sd;28
10.146.0.131;14;owDelayMax.sd;28
10.146.0.131;15;owDelayMax.sd;29
10.146.0.131;16;owDelayMax.sd;28
10.146.0.131;17;owDelayMax.sd;28
10.146.0.131;18;owDelayMax.sd;28
10.146.0.131;19;owDelayMax.sd;0
10.146.0.131;20;owDelayMax.sd;0
10.146.0.131;21;owDelayMax.sd;0
10.146.0.131;22;owDelayMax.sd;0
10.146.0.131;23;owDelayMax.sd;0
10.146.0.131;24;owDelayMax.sd;0
10.146.0.131;25;owDelayMax.sd;0
10.146.0.131;26;owDelayMax.sd;0
10.146.0.131;27;owDelayMax.sd;0
10.146.0.131;28;owDelayMax.sd;0
10.146.0.131;29;owDelayMax.sd;0
10.146.0.131;30;owDelayMax.sd;0
10.146.0.131;31;owDelayMax.sd;0
10.146.0.131;32;owDelayMax.sd;0
10.146.0.131;33;owDelayMax.sd;0
10.146.0.131;34;owDelayMax.sd;0
10.146.0.131;35;owDelayMax.sd;29
10.146.0.131;36;owDelayMax.sd;29
10.146.0.131;37;owDelayMax.sd;28
10.146.0.131;38;owDelayMax.sd;28
10.146.0.131;39;owDelayMax.sd;28
10.146.0.131;40;owDelayMax.sd;28
10.146.0.131;41;owDelayMax.sd;28
10.146.0.131;42;owDelayMax.sd;28
10.146.0.131;43;owDelayMax.sd;29
10.146.0.131;44;owDelayMax.sd;28
10.146.0.131;45;owDelayMax.sd;30
10.146.0.131;46;owDelayMax.sd;29
10.146.0.131;47;owDelayMax.sd;29
10.146.0.131;48;owDelayMax.sd;29
10.146.0.131;49;owDelayMax.sd;28
10.146.0.131;50;owDelayMax.sd;28
10.146.0.131;51;owDelayMax.sd;0
10.146.0.131;52;owDelayMax.sd;0
10.146.0.131;53;owDelayMax.sd;0
10.146.0.131;54;owDelayMax.sd;0
10.146.0.131;55;owDelayMax.sd;0
10.146.0.131;56;owDelayMax.sd;0
10.146.0.131;57;owDelayMax.sd;0
10.146.0.131;58;owDelayMax.sd;0
10.146.0.131;59;owDelayMax.sd;0
10.146.0.131;60;owDelayMax.sd;0
10.146.0.131;61;owDelayMax.sd;0
10.146.0.131;62;owDelayMax.sd;0
10.146.0.131;63;owDelayMax.sd;0
10.146.0.131;64;owDelayMax.sd;0
10.146.0.131;65;owDelayMax.sd;0
10.146.0.131;66;owDelayMax.sd;0
10.146.0.131;67;owDelayMax.sd;0
10.146.0.131;68;owDelayMax.sd;0
10.146.0.131;69;owDelayMax.sd;0
10.146.0.131;70;owDelayMax.sd;0
10.146.0.131;71;owDelayMax.sd;0
10.146.0.131;72;owDelayMax.sd;0
10.146.0.131;73;owDelayMax.sd;0
10.146.0.131;74;owDelayMax.sd;0
10.146.0.131;75;owDelayMax.sd;0
10.146.0.131;76;owDelayMax.sd;0
10.146.0.131;77;owDelayMax.sd;0
10.146.0.131;78;owDelayMax.sd;0
10.146.0.131;79;owDelayMax.sd;0
10.146.0.131;80;owDelayMax.sd;0
10.146.0.131;81;owDelayMax.sd;0
10.146.0.131;82;owDelayMax.sd;0
10.146.0.131;83;owDelayMax.sd;0
10.146.0.131;84;owDelayMax.sd;0
10.146.0.131;85;owDelayMax.sd;0
10.146.0.131;86;owDelayMax.sd;0
10.146.0.131;87;owDelayMax.sd;0
10.146.0.131;88;owDelayMax.sd;0
10.146.0.131;89;owDelayMax.sd;0
10.146.0.131;90;owDelayMax.sd;0
10.146.0.131;91;owDelayMax.sd;0
10.146.0.131;92;owDelayMax.sd;0
10.146.0.131;93;owDelayMax.sd;0
10.146.0.131;94;owDelayMax.sd;0
10.146.0.131;95;owDelayMax.sd;0
10.146.0.131;96;owDelayMax.sd;0
10.146.0.131;97;owDelayMax.sd;0
10.146.0.131;98;owDelayMax.sd;0
10.146.0.131;99;owDelayMax.sd;0
10.146.0.131;100;owDelayMax.sd;0
10.146.0.131;1;owDelayAvg.sd;1
10.146.0.131;2;owDelayAvg.sd;1
10.146.0.131;3;owDelayAvg.sd;1
10.146.0.131;4;owDelayAvg.sd;1
10.146.0.131;5;owDelayAvg.sd;1
10.146.0.131;6;owDelayAvg.sd;1
10.146.0.131;7;owDelayAvg.sd;1
10.146.0.131;8;owDelayAvg.sd;1
10.146.0.131;9;owDelayAvg.sd;1
10.146.0.131;10;owDelayAvg.sd;1
10.146.0.131;11;owDelayAvg.sd;1
10.146.0.131;12;owDelayAvg.sd;1
10.146.0.131;13;owDelayAvg.sd;1
10.146.0.131;14;owDelayAvg.sd;1
10.146.0.131;15;owDelayAvg.sd;1
10.146.0.131;16;owDelayAvg.sd;1
10.146.0.131;17;owDelayAvg.sd;1
10.146.0.131;18;owDelayAvg.sd;1
10.146.0.131;19;owDelayAvg.sd;0
10.146.0.131;20;owDelayAvg.sd;0
10.146.0.131;21;owDelayAvg.sd;0
10.146.0.131;22;owDelayAvg.sd;0
10.146.0.131;23;owDelayAvg.sd;0
10.146.0.131;24;owDelayAvg.sd;0
10.146.0.131;25;owDelayAvg.sd;0
10.146.0.131;26;owDelayAvg.sd;0
10.146.0.131;27;owDelayAvg.sd;0
10.146.0.131;28;owDelayAvg.sd;0
10.146.0.131;29;owDelayAvg.sd;0
10.146.0.131;30;owDelayAvg.sd;0
10.146.0.131;31;owDelayAvg.sd;0
10.146.0.131;32;owDelayAvg.sd;0
10.146.0.131;33;owDelayAvg.sd;0
10.146.0.131;34;owDelayAvg.sd;0
10.146.0.131;35;owDelayAvg.sd;1
10.146.0.131;36;owDelayAvg.sd;1
10.146.0.131;37;owDelayAvg.sd;1
